"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"4";"100n";"CAP01";"C-2,5";"C1, C2, C3, C4";"";"";
"1";"100u/16V";"C07/2,5";"C07/2,5";"C5";"";"";
"8";"10k";"RES04";"R-10";"R1, R2, R3, R4, R5, R6, R7, R8";"";"";
"3";"1N4148";"1N41480.3"";"DO-35/3";"D1, D2, D3";"";"";
"1";"74LS148";"74148DIL";"DIL-16";"IC4";"";"";
"3";"COMBI-3P";"COMBI-3P";"COMBI-3P";"JP1, JP2, JP4";"";"";
"1";"COMBI-3X2P";"COMBI-3X2P";"COMBI-3X2";"JP3";"";"";
"1";"COMBI-4X2P";"COMBI-4X2P";"COMBI-4X2";"JP5";"";"";
"1";"HM62256";"HM62256";"DIL28-6";"IC3";"";"";
"1";"JPT1236HB";"JPT1236HB";"JTP_1236HB";"SW1";"";"";
"2";"M27C512-DIP28";"M27C512-DIP28";"DIL28-6";"IC1, IC2";"";"";
"1";"OPEN_SOURCE_HW";"OPEN_SOURCE_HW";"OPENHW";"U$2";"";"";
"1";"VIC20_EXPANSIONPORT";"VIC20_EXPANSIONPORT";"VIC20_EXPANSION";"J1";"";"";
